beginTime,endTime,name,practice,wordOrNot,letter1,letter2,letter3,letter4,letter5
6.506764,7.252085,date,1,1,t,p,l,d,g
8.11571,8.837369,pill,1,1,b,p,m,h,f
9.831129,10.517297,tin,0,1,p,r,t,d,b
11.463736,12.611292,nose,0,1,u,d,n,m,t
13.439426,14.326712,rarg,0,0,l,r,f,w,m
15.462438,16.337894,pem,0,0,b,q,t,p,d
17.414467,18.301754,lock,0,1,m,n,l,i,r
19.260022,20.277444,mane,0,1,l,w,n,u,m
26.003396,26.878852,baf,0,0,d,b,p,t,q
28.55878,29.327761,tip,0,1,d,f,l,p,t
30.309691,31.114164,face,0,1,f,p,t,s,l
32.155246,32.971549,veal,0,1,u,f,z,v,s
33.988971,34.675139,gale,0,1,t,g,k,y,d
35.834526,36.579846,tafe,0,0,t,b,r,p,d
37.620928,38.472723,zif,0,0,s,v,x,f,z
42.885492,43.737287,lane,0,1,l,m,n,r,i
45.204266,45.985078,ball,0,1,p,g,t,b,q
47.239109,48.114565,pan,0,1,t,q,p,b,m
49.202969,50.149407,farl,0,0,f,z,v,s,t
51.344286,52.255233,toad,0,1,c,g,t,d,f
53.390959,54.14811,jug,0,1,ch,i,d,j,t
55.354819,56.076478,marf,0,0,n,m,u,l,w
57.295018,58.395252,zeal,0,1,z,f,d,x,s
64.204018,65.245101,niz,0,0,u,d,t,m,n
65.694659,66.546453,cap,0,1,t,g,e,c,m
67.19713,68.451161,need,0,1,d,n,b,u,m
69.007193,70.060106,sown,0,1,z,e,t,s,c
73.975995,75.064399,varg,0,0,u,f,v,s,z
76.54321,77.395004,bad,0,1,q,l,d,p,b
78.294121,79.00395,goaf,0,0,k,g,t,d,y
80.210659,81.026962,coat,0,1,c,d,e,t,g
82.056214,82.742381,pit,0,1,l,b,t,q,p
83.736142,84.363157,dife,0,0,t,q,b,p,d
85.439731,86.102238,lead,0,1,m,l,n,r,i
86.942202,87.793997,might,0,1,w,l,u,m,n
88.574808,89.450264,safe,0,1,e,ch,s,f,w
90.479516,91.343141,lov,0,0,l,m,n,i,r
92.265918,93.070391,dab,0,1,b,d,q,l,t
94.075982,94.785811,fail,0,1,s,l,v,f,h
95.625775,96.607705,sari,0,0,z,f,v,e,s
98.192989,99.068445,pack,0,1,q,c,s,p,b
99.872917,100.641899,kep,0,0,g,t,k,h,d
104.723414,105.6107,road,0,1,r,i,n,l,m
106.971206,107.823,jeg,0,0,d,t,i,ch,j
108.591982,109.360963,god,0,1,c,g,h,d,y
110.354723,111.159196,doubt,0,1,d,b,p,t,q
111.809872,112.661667,nod,0,1,d,m,n,p,u